ts,f1,auc_pr,auc_roc,precision,recall,raw_f1,cfg,secs
1780439923,0.7884,0.849,0.9336,0.7979,0.7791,0.781,"{""model"": ""if"", ""mode"": ""full"", ""n_estimators"": 400, ""max_samples"": 2048, ""max_features"": 1.0, ""contamination"": 0.0172, ""seed"": 763}",27.5
1780439965,0.7726,0.8346,0.9317,0.7669,0.7784,0.7653,"{""model"": ""if"", ""mode"": ""full"", ""n_estimators"": 600, ""max_samples"": 1024, ""max_features"": 0.95, ""contamination"": 0.0172, ""seed"": 725}",42.1
1780440090,0.7725,0.835,0.9316,0.7767,0.7683,0.7651,"{""model"": ""if"", ""mode"": ""full"", ""n_estimators"": 1600, ""max_samples"": 1024, ""max_features"": 0.95, ""contamination"": 0.0172, ""seed"": 580}",125.6
1780440140,0.7747,0.8347,0.9322,0.775,0.7743,0.7666,"{""model"": ""if"", ""mode"": ""full"", ""n_estimators"": 600, ""max_samples"": 1024, ""max_features"": 0.95, ""contamination"": 0.0172, ""seed"": 116}",49.3
1780440208,0.7593,0.8083,0.9287,0.7681,0.7507,0.7515,"{""model"": ""if"", ""mode"": ""full"", ""n_estimators"": 1200, ""max_samples"": 512, ""max_features"": 0.95, ""contamination"": 0.0172, ""seed"": 931}",68.5
1780440247,0.764,0.8157,0.9288,0.7631,0.765,0.7555,"{""model"": ""if"", ""mode"": ""full"", ""n_estimators"": 600, ""max_samples"": 512, ""max_features"": 0.95, ""contamination"": 0.0172, ""seed"": 411}",38.6
1780440310,0.7657,0.829,0.931,0.7619,0.7695,0.7584,"{""model"": ""if"", ""mode"": ""full"", ""n_estimators"": 1200, ""max_samples"": 1024, ""max_features"": 1.0, ""contamination"": 0.0172, ""seed"": 925}",63.1
1780440330,0.7448,0.7812,0.9244,0.7103,0.7829,0.7395,"{""model"": ""if"", ""mode"": ""full"", ""n_estimators"": 400, ""max_samples"": 256, ""max_features"": 0.95, ""contamination"": 0.0172, ""seed"": 268}",20.3
1780440363,0.7788,0.8343,0.9326,0.7958,0.7624,0.7707,"{""model"": ""if"", ""mode"": ""full"", ""n_estimators"": 600, ""max_samples"": 1024, ""max_features"": 1.0, ""contamination"": 0.0172, ""seed"": 468}",32.7
1780440398,0.7545,0.7798,0.9275,0.7576,0.7514,0.7467,"{""model"": ""if"", ""mode"": ""full"", ""n_estimators"": 800, ""max_samples"": 256, ""max_features"": 1.0, ""contamination"": 0.0172, ""seed"": 295}",35.2
1780440447,0.7649,0.8111,0.9303,0.7569,0.773,0.7576,"{""model"": ""if"", ""mode"": ""full"", ""n_estimators"": 800, ""max_samples"": 512, ""max_features"": 0.85, ""contamination"": 0.0172, ""seed"": 222}",48.9
1780440477,0.7674,0.812,0.9308,0.764,0.7708,0.7592,"{""model"": ""if"", ""mode"": ""full"", ""n_estimators"": 400, ""max_samples"": 512, ""max_features"": 0.95, ""contamination"": 0.0172, ""seed"": 912}",29.6
1780440503,0.7776,0.8467,0.9327,0.7836,0.7716,0.7721,"{""model"": ""if"", ""mode"": ""full"", ""n_estimators"": 400, ""max_samples"": 2048, ""max_features"": 1.0, ""contamination"": 0.0172, ""seed"": 726}",26.0
1780440532,0.758,0.7913,0.9269,0.75,0.7662,0.7493,"{""model"": ""if"", ""mode"": ""full"", ""n_estimators"": 400, ""max_samples"": 256, ""max_features"": 0.85, ""contamination"": 0.0172, ""seed"": 262}",29.4
1780440579,0.749,0.7839,0.927,0.7472,0.7508,0.7411,"{""model"": ""if"", ""mode"": ""full"", ""n_estimators"": 800, ""max_samples"": 256, ""max_features"": 0.85, ""contamination"": 0.0172, ""seed"": 371}",47.0
1780440674,0.7601,0.8087,0.929,0.7625,0.7577,0.7516,"{""model"": ""if"", ""mode"": ""full"", ""n_estimators"": 1600, ""max_samples"": 512, ""max_features"": 0.85, ""contamination"": 0.0172, ""seed"": 130}",94.7
